dbms,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME
sqlserver,PMD_DCSP-sqldb,dbo,Users,UserTables,9,bit,NULL,NULL,NULL,NULL,NULL
sqlserver,PMD_DCSP-sqldb,dbo,Users,UserLastLogon,10,datetime,NULL,NULL,NULL,NULL,NULL
sqlserver,PMD_DCSP-sqldb,dbo,Users,UserLastLogoff,11,datetime,NULL,NULL,NULL,NULL,NULL
sqlserver,PMD_DCSP-sqldb,dbo,Users,UserIn,12,bit,NULL,NULL,NULL,NULL,NULL
sqlserver,PMD_DCSP-sqldb,dbo,Users,UserComputer,13,nvarchar,20,NULL,NULL,NULL,NULL
sqlserver,PMD_DCSP-sqldb,dbo,Users,PromoteSA,14,bit,NULL,NULL,NULL,NULL,NULL
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BB Actual-PS,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BB Actual-Salary,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BB Line-PS,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BB Line-Salary,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BB Planned-PS,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BB Planned-Salary,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_CR_Sequence_Test,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,SL maxouts,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,TFA Branch Limits,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,TLFactor,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,sysdiagrams,principal_id
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_CR_Sequence_Test,Number
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_CR_Sequence_Test,Number
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_Resource_TFATask_Test,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_TFATask,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_TFATask_Test,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_TFATask_Test2,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,resourceToBranch,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,Salary,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_Operation_&_Maintenance_Actuals_Test,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_Operation_&_Maintenance_Test,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_PlannedTaskEffort,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_PlannedTaskEffort_Test,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_PlannedTaskEffort_Test1,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_Project_Phase_Test,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_Capital_Salary_Actuals_Test,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_Consultants_Test,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_CR_Sequence_Test,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_Full_Time_Employees_Test,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_Full_Time_Employees_Test3,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_Gating_Table,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_Resource,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_ActualTaskEffort_Test,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_Capital_Infrastructure_Actuals_Test,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_Capital_Infrastructure_Test,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_Capital_Professional_Services_Actuals_Test,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_Capital_Professional_Services_Test,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,CustomerT,CustomerID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,sysdiagrams,diagram_id
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,Users,UserID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM_BExEntriesExpanded_Test,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM_BExEntriesExpanded_Test2,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_Resource_Test,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,Import CATS Pending data,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,Import CATS Rejected data,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM_Project,Number
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM_Project,Rec_Order_Num
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM_Approval_Registry,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM_Project,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_PlannedTaskEffort_Test1,ResourceTFATaskID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_Resource_TFATask,TaskCode
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_Resource_TFATask_Test,ResourceID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_Resource_TFATask,TFATaskID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_Resource_TFATask_Test,TFATaskID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,Import CATS Approval data,ID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_CR_Sequence_Test,Number
